cat,name,emoji,portion,carbs,info
Obst,Ananas,🍍,"1–2 Scheiben (~110 g; essbar ~80 g)",10,"1 KE entspricht ca. 110 g (80 g essbar)."
Obst,Apfel (klein),🍎,"~90 g (essbar ~80 g)",10,"1 KE ~ 90 g."
Obst,Aprikosen,🍑,"2–3 Stk (~130 g; essbar ~120 g)",10,"1 KE ~ 2–3 Aprikosen."
Obst,Banane (½),🍌,"~70 g (essbar ~50 g)",10,"Halbe Banane ≈ 1 KE."
Obst,Birne (klein),🍐,"~90 g (essbar ~80 g)",10,"1 KE ~ 90 g."
Obst,Heidelbeeren,🫐,"1½ Tassen (~160 g)",10,"Beeren haben relativ wenig KH pro 100 g."
Obst,Brombeeren,🫐,"2 Tassen (~160 g)",10,"1 KE ~ 160 g."
Obst,Erdbeeren,🍓,"2½ Tassen (~180 g)",10,"1 KE ~ 180 g."
Obst,Feige,🟣,"~1⅓ Stk (~80 g)",10,"1 KE ~ 80 g."
Obst,Grapefruit,🍊,"½ Frucht (~170 g; essbar ~130 g)",10,"1 KE ~ 170 g (130 g essbar)."
Obst,Himbeeren,🍓,"3 Tassen (~210 g)",10,"1 KE ~ 210 g."
Obst,Johannisbeeren rot,🍇,"2 Tassen (~210 g)",10,"1 KE ~ 210 g."
Obst,Kirschen (süß),🍒,"~1 Tasse (~90 g; essbar ~70 g)",10,"Süße Sorten haben mehr KH."
Obst,Orange (mittel),🍊,"~150 g (essbar ~120 g)",10,"1 KE ~ 150 g."
Obst,Pfirsich,🍑,"~120 g (essbar ~110 g)",10,"1 KE ~ 120 g."
Obst,Pflaumen,🟣,"4 Stk (~100 g; essbar ~90 g)",10,"1 KE ~ 4 Pflaumen."
Obst,Wassermelone,🍉,"~190 g (essbar ~120 g)",10,"Viel Wasser, relativ wenig KH."
Obst,Weintrauben,🍇,"12 Stk (~70 g)",10,"Trauben sind zuckerreicher."
Getränke,Apfelsaft,🧃,"~90 ml",10,"Fruchtsaft wirkt schnell."
Getränke,Orangensaft,🧃,"~110 ml",10,"Fruchtsaft wirkt schnell."
Getränke,Weintraubensaft,🧃,"~60 ml",10,"Konzentration höher als O-/Apfelsaft."
Getränke,Milch,🥛,"~200 ml",10,"Milchzucker (Laktose)."
Getränke,Buttermilch,🥛,"~200 ml",10,"Milchzucker + etwas Eiweiß."
Getränke,Joghurt (getrunken),🥛,"~200 ml",10,"Zucker/Laktose – abhängig von Sorte."
Getränke,Kefir,🥛,"~200 ml",10,"Gärmilch, enthält Laktose."
Getränke,Haferdrink (ungesüßt),🥛,"~150 ml",10,"Stärke aus Hafer."
Getränke,Mandeldrink (ungesüßt),🥛,"~400 ml",10,"Wenig KH; große Menge = 1 KE."
Getränke,Reisdrink (ungesüßt),🥛,"~100 ml",10,"Relativ viele KH."
Getränke,Sojadrink (ungesüßt),🥛,"~600 ml",10,"Wenig KH; große Menge = 1 KE."
Grundnahrungsmittel,Kartoffel,🥔,"1 Stück (hühnereigroß ~65 g)",10,"1 KE ~ 1 mittelgroße Kartoffel."
Grundnahrungsmittel,Kartoffelpüree,🥔,"2–3 EL (~60 g)",10,"1 KE ~ 2–3 EL Püree."
Grundnahrungsmittel,Kastanien/Maronen,🌰,"~30 g",10,"Esskastanie enthält Stärke."
Grundnahrungsmittel,Knödel,🥔,"½ Stück (~45 g)",10,"1 KE ~ halber Knödel."
Grundnahrungsmittel,Kroketten,🥔,"2 Stück (~35 g)",10,"1 KE ~ 2 Kroketten."
Grundnahrungsmittel,Maiskörner,🌽,"3 EL (~65 g)",10,"1 KE ~ 3 EL Mais."
Grundnahrungsmittel,Maiskolben,🌽,"ohne Blätter ~100 g",10,"1 KE ~ 100 g."
Grundnahrungsmittel,Pommes frites,🍟,"~30 g",10,"Kombination aus KH + Fett."
Grundnahrungsmittel,Reis (parboiled, roh→gekocht),🍚,"1 EL roh / 3 EL gekocht (~15 g / ~45 g)",10,"1 KE ~ 1 EL roh bzw. ~3 EL gekocht."
Grundnahrungsmittel,Couscous (roh→gekocht),🥣,"1 EL roh / 3 EL gekocht (~15 g / ~35 g)",10,"1 KE ~ 1 EL roh bzw. ~3 EL gekocht."
Grundnahrungsmittel,Nudeln (ohne Ei; roh→gekocht),🍝,"roh 15 g / gekocht ~45 g",10,"1 KE ~ 15 g roh bzw. ~45 g gekocht."
Grundnahrungsmittel,Haferflocken,🥣,"1 EL (~15 g)",10,"1 KE ~ 1 EL."
Grundnahrungsmittel,Maisgrieß/Polenta,🥣,"1 EL (~15 g)",10,"1 KE ~ 1 EL."
Grundnahrungsmittel,Weizenmehl,🌾,"1 EL (~15 g)",10,"1 KE ~ 1 EL."
Snacks,Kartoffelchips,🍟,"~25 g",10,"1 KE ~ 25 g Chips."
Snacks,Kräcker,🥨,"5 Stück (~15 g)",10,"1 KE ~ 5 Kräcker."
Snacks,Salzstangen,🥨,"15 Stück (~15 g)",10,"1 KE ~ 15 Stangen."
Snacks,Reiswaffeln (salzig),🍘,"2 Stück (~13 g)",10,"1 KE ~ 2 Waffeln."
Snacks,Knäckebrot Vollkorn (Wasa),🍞,"~1⅓ Scheiben (~17 g)",10,"1 KE ~ 1⅓ Scheiben."
Snacks,Knäckebrot Hafer & Sesam (Wasa),🍞,"2 Scheiben (~20 g)",10,"1 KE ~ 2 Scheiben."
Snacks,Vollkorntoast,🍞,"1 Scheibe (~25 g)",10,"1 KE ~ 1 Scheibe."
Snacks,Weißbrot/Toast,🍞,"1 Scheibe (~20 g)",10,"1 KE ~ 1 Scheibe."
Snacks,Roggenvollkornbrot,🍞,"½ Scheibe (~25 g)",10,"1 KE ~ halbe Scheibe."
Snacks,Zwiebäcke,🍞,"~1½ Stück (~15 g)",10,"1 KE ~ 1½ Stück."
Eis,Kugel Milchspeiseeis (klein),🍦,"~80 g",10,"1 KE ~ 1 kleine Kugel."
Eis,Fruchteis (½ Kugel),🍧,"~35 g",10,"1 KE ~ ½ Kugel Fruchteis."
Eis,Eis am Stiel,🍧,"1 Stück (~? g)",10,"Richtwert laut Tabelle."
Kuchen,Muffin,🧁,"1 Stück (~30 g KH pro 1 KE-Portion)",10,"Richtwert je Rezept unterschiedlich."
Kuchen,Stück Kuchen (gemischt),🍰,"~? g (siehe Sorten)",10,"Siehe Einträge mit ⅓/¼ Stück je Sorte."
Kuchen,Marmorkuchen (⅓ Stück),🍰,"~20 g",10,"⅓ Stück entspricht 1 KE."
Kuchen,Butterkuchen (½ Stück),🍰,"~30 g",10,"½ Stück entspricht 1 KE."
Kuchen,Käsekuchen (⅓ Stück),🍰,"~35 g",10,"⅓ Stück entspricht 1 KE."
Süßwaren,Goldbären (Haribo),🐻,"8 Stück (~13 g)",10,"Schnell wirksam."
Süßwaren,Werther’s Original,🍬,"2 Stück (~10 g)",10,"1 KE ~ 2 Bonbons."
Süßwaren,Nimm2,🍬,"2 Stück (~12 g)",10,"Auch Soft/Lachgummi siehe Tabelle."
Süßwaren,Smarties,🍬,"~13 Stück (~15 g)",10,"1 KE ~ 13 Stück."
Süßwaren,Toffifee,🍬,"2 Stück (~17 g)",10,"1 KE ~ 2 Stück."

